交易号                  ,商户订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     
"2016122321001004330280546858	","150_1_223BCFF666C20C01_585C67D2	",2016/12/23 7:54,2016/12/23 7:54,2017/3/24 7:55,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴车费-车主             ,37.9,支出      ,交易成功    ,0,0,                    ,已支出      
"20161223114071773331 	","                    	",2016/12/23 4:26,                    ,2016/12/23 4:26,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.22-收益发放 ,0.26,收入      ,交易成功    ,0,0,                    ,已收入      
"2016122221001004330280099333	","210_201612224192432701358669	",2016/12/22 19:38,2016/12/22 19:38,2017/3/23 19:40,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-张同刚师傅          ,14.3,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122221001004330279886193	","T0205000000000101798907161450389	",2016/12/22 17:14,2016/12/22 17:14,2017/3/23 17:15,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,小厨工匠鱼辣烫外卖订单         ,12.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122221001004330279327551	","T0205000000000101795018343290752	",2016/12/22 10:55,2016/12/22 10:55,2017/3/23 10:56,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,金百万（万柳店）外卖订单        ,20,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122221001004330279327532	","T0205000000000101794915274561293	",2016/12/22 10:54,2016/12/22 10:54,2017/3/23 10:56,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,小鱼儿酸菜鱼外卖订单          ,12.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122221001004330279201794	","mbuyer002_250519067339215265246204020837596251435	",2016/12/22 9:03,2016/12/22 9:03,2017/3/23 9:03,其他（包括阿里巴巴和外部商家）,即时到账交易          ,张玉良             ,鼎鸿美食城(营养早餐)         ,6,支出      ,交易成功    ,0,0,                    ,已支出      
"20161222113214519331 	","                    	",2016/12/22 5:23,                    ,2016/12/22 5:23,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.21-收益发放 ,0.25,收入      ,交易成功    ,0,0,                    ,已收入      
"2016122121001001330278809615	","T1100P2879911488628587	",2016/12/21 21:12,2016/12/21 21:12,2016/12/22 9:10,淘宝        ,支付宝担保交易         ,泰康在线收入户         ,保险-买家版运费险-加绒加厚时尚孕妇打底裤秋冬孕妇裤长裤孕妇装冬装保暖韩版孕妇裤等,1.6,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122121001001330278850089	","T200P2879911488598587	",2016/12/21 21:12,2016/12/21 21:12,2016/12/27 14:13,淘宝        ,支付宝担保交易         ,喜孕美旗舰店          ,加绒加厚时尚孕妇打底裤秋冬孕妇裤长裤孕妇装冬装保暖韩版孕妇裤 等多件,69.9,支出      ,交易关闭    ,0,0,                    ,已支出      
"2016122121001004330278471005	","T0205000000000101791170511869516	",2016/12/21 16:46,2016/12/21 16:46,2017/3/22 16:48,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,吕记驴肉火烧（中关村店）外卖订单    ,12.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122121001004330277907084	","T0205000000000101786323270080185	",2016/12/21 11:11,2016/12/21 11:11,2017/3/22 11:11,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,猪先森外卖订单             ,13.9,支出      ,交易成功    ,0,0,                    ,已支出      
"20161221112147248331 	","                    	",2016/12/21 6:11,                    ,2016/12/21 6:11,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.20-收益发放 ,0.24,收入      ,交易成功    ,0,0,                    ,已收入      
"2016122021001004330277082809	","150_1_209D70B1597A0C01_58590276	",2016/12/20 18:05,2016/12/20 18:05,2017/3/21 18:07,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴车费-车主             ,19,支出      ,交易成功    ,0,0,                    ,已支出      
"2016122021001004330276351221	","T0205000000000101778410164033293	",2016/12/20 11:00,2016/12/20 11:00,2017/3/21 11:02,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,小鱼儿酸菜鱼外卖订单          ,16.4,支出      ,交易成功    ,0,0,                    ,已支出      
"20161220110935353331 	","                    	",2016/12/20 6:03,                    ,2016/12/20 6:03,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.19-收益发放 ,0.21,收入      ,交易成功    ,0,0,                    ,已收入      
"20161219200040011100330004507609	","20161219549769983327287508444415	",2016/12/19 20:59,2016/12/19 20:59,2016/12/19 20:59,支付宝网站     ,即时到账交易          ,菠菜(张禹新)         ,转账                  ,5000,支出      ,交易成功    ,0,0,转账                  ,已支出      
"20161219200040011100330004472898	","20161219912894252549082862126277	",2016/12/19 20:59,2016/12/19 20:59,2016/12/19 20:59,支付宝网站     ,即时到账交易          ,菠菜(张禹新)         ,转账                  ,5000,支出      ,交易成功    ,0,0,转账                  ,已支出      
"20161219108831803331 	","                    	",2016/12/19 4:23,                    ,2016/12/19 4:23,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.18-收益发放 ,0.2,收入      ,交易成功    ,0,0,                    ,已收入      
"2016121821001004330273261776	","210_201612180004433401847982	",2016/12/18 8:00,2016/12/18 8:00,2017/3/19 8:01,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-王玉磊师傅          ,12.3,支出      ,交易成功    ,0,0,                    ,已支出      
"20161218108665420331 	","                    	",2016/12/18 6:54,                    ,2016/12/18 6:54,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.17-收益发放 ,0.2,收入      ,交易成功    ,0,0,                    ,已收入      
"20161218110500101000330008087184	","20161218110500501000330041075226	",2016/12/18 4:26,2016/12/18 4:26,2016/12/18 4:26,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-自动转入            ,429.6,        ,交易成功    ,0,0,                    ,资金转移     
"20161217200040011100540001580097	","20161217671441502476975302111563	",2016/12/17 21:08,2016/12/17 21:08,2016/12/17 21:08,支付宝网站     ,即时到账交易          ,云香              ,转账                  ,200,收入      ,交易成功    ,0,0,转账                  ,已收入      
"2016121721001004330272869009	","210_201612174483994901448807	",2016/12/17 20:27,2016/12/17 20:27,2017/3/18 20:28,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-刘会群师傅          ,7.4,支出      ,交易成功    ,0,0,                    ,已支出      
"2016121721001004330272738615	","dm136841104         	",2016/12/17 18:57,2016/12/17 18:57,2017/3/18 19:00,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京华联综合超市股份有限公司  ,华联BHG万柳店-收银017-被扫支付 ,93.2,支出      ,交易成功    ,0,0,                    ,已支出      
"20161217200040011100420002083294	","20161217513676423394353937415187	",2016/12/17 12:29,2016/12/17 12:29,2016/12/17 12:29,支付宝网站     ,即时到账交易          ,菠菜              ,转账                  ,237,收入      ,交易成功    ,0,0,转账                  ,已收入      
"20161217106998955331 	","                    	",2016/12/17 4:06,                    ,2016/12/17 4:06,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.16-收益发放 ,0.2,收入      ,交易成功    ,0,0,                    ,已收入      
"2016121621001004330270615086	","T0205000000000101750410443855629	",2016/12/16 12:23,2016/12/16 12:23,2017/3/17 12:24,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,小鱼儿酸菜鱼外卖订单          ,12.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2016121621001004330270616928	","T0206000000000397784304003630181	",2016/12/16 12:21,2016/12/16 12:21,2017/3/17 12:22,其他（包括阿里巴巴和外部商家）,即时到账交易          ,饿了么             ,饿了么会员月卡订单:397784304003630181,20,支出      ,交易成功    ,0,0,                    ,已支出      
"20161216106176276331 	","                    	",2016/12/16 6:28,                    ,2016/12/16 6:28,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.15-收益发放 ,0.2,收入      ,交易成功    ,0,0,                    ,已收入      
"2016121521001004330268954724	","mbuyer002_231602404171919487394531519515845322018	",2016/12/15 9:10,2016/12/15 9:10,2017/3/16 9:11,其他（包括阿里巴巴和外部商家）,即时到账交易          ,张丰东             ,味来做主小吃(中关村店)        ,6,支出      ,交易成功    ,0,0,                    ,已支出      
"20161215104915158331 	","                    	",2016/12/15 6:19,                    ,2016/12/15 6:19,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.14-收益发放 ,0.2,收入      ,交易成功    ,0,0,                    ,已收入      
"20161214103322283331 	","                    	",2016/12/14 7:20,                    ,2016/12/14 7:20,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.13-收益发放 ,0.2,收入      ,交易成功    ,0,0,                    ,已收入      
"20161213102001781331 	","                    	",2016/12/13 5:20,                    ,2016/12/13 5:20,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.12-收益发放 ,0.05,收入      ,交易成功    ,0,0,                    ,已收入      
"20161212101065281331 	","                    	",2016/12/12 8:24,                    ,2016/12/12 8:24,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.11-收益发放 ,0.05,收入      ,交易成功    ,0,0,                    ,已收入      
"20161211199813598331 	","                    	",2016/12/11 6:08,                    ,2016/12/11 6:08,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.10-收益发放 ,0.05,收入      ,交易成功    ,0,0,                    ,已收入      
"20161211110500101000330006846083	","20161211110500501000330040289118	",2016/12/11 4:28,2016/12/11 4:28,2016/12/11 4:28,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-自动转入            ,1974.8,        ,交易成功    ,0,0,                    ,资金转移     
"2016121021001004335082395521	","210_201612103392365901981205	",2016/12/10 17:25,2016/12/10 17:25,2017/3/11 17:26,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-李照洲师傅          ,25.2,支出      ,交易成功    ,0,0,                    ,已支出      
"2016121021001004335082333238	","19299450            	",2016/12/10 16:53,2016/12/10 16:53,2017/12/10 16:54,其他（包括阿里巴巴和外部商家）,即时到账交易          ,欧尚(北京金四季店)      ,支付宝支付               ,144.9,支出      ,交易成功    ,0,0,                    ,已支出      
"2016121021001004335082241540	","30006161210153710   	",2016/12/10 15:38,2016/12/10 15:38,2017/3/11 15:39,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京联合华美商业管理有限公司  ,爱普奥特莱斯购物            ,139,支出      ,交易成功    ,0,0,                    ,已支出      
"20161210200040011100420096522581	","20161210914860251512137560717544	",2016/12/10 10:53,2016/12/10 10:53,2016/12/10 10:53,支付宝网站     ,即时到账交易          ,菠菜              ,转账                  ,2000,收入      ,交易成功    ,0,0,转账                  ,已收入      
"20161210198552936331 	","                    	",2016/12/10 6:04,                    ,2016/12/10 6:04,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.09-收益发放 ,0.05,收入      ,交易成功    ,0,0,                    ,已收入      
"2016120921001004335080681578	","150_1_1925CA5C9B4A0C01_5849F993	",2016/12/9 8:23,2016/12/9 8:23,2017/3/10 8:24,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴车费-车主             ,5.4,支出      ,交易成功    ,0,0,                    ,已支出      
"20161209197498024331 	","                    	",2016/12/9 6:14,                    ,2016/12/9 6:14,支付宝网站     ,即时到账交易          ,天弘基金管理有限公司      ,余额宝-2016.12.08-收益发放 ,0.05,收入      ,交易成功    ,0,0,                    ,已收入      
"2016120821001004335080408274	","210_201612084351109201354587	",2016/12/8 20:05,2016/12/8 20:05,2017/3/9 20:05,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,滴滴快车-郭心强师傅          ,11,支出      ,交易成功    ,0,0,                    ,已支出      
